'SPINK1','TGFBR2','FGFR2','MLH1','BCL2','VHL','EGFR','KDR','HAVCR2','CTLA4','CDKN2A','KRAS','TGFB1','ITGA2','CMPK1','APC','ACTR2','ERBB2','PDCD1','PFN1','GPC3','TACSTD2','CDH17','MYC','CCND1','TP53','COPS5','CEACAM5'
11.975,11.197,7.4363,9.4325,6.9365,9.5484,9.3974,8.0764,7.2477,5.7251,8.471,9.7886,9.293,10.186,12.787,8.7414,12.313,12.126,3.2104,13.531,3.8047,7.6031,14.248,13.349,11.19,10.87,11.622,16.76
10.346,11.898,8.2372,9.1927,8.0811,9.6223,8.653,9.2259,7.7979,4.819,8.3887,10.331,10.287,10.75,12.469,9.1866,12.672,12.305,4.2902,14.31,7.0192,10.789,13.484,11.614,12.563,11.085,10.21,16.64
9.0964,12.078,8.9951,9.0183,7.3924,9.3293,9.3855,8.5397,9.1153,5.3282,8.1045,9.8689,11.033,10.571,11.683,8.7092,11.919,12.139,4.2115,14.25,7.6876,7.8053,13.27,12.887,12.313,9.377,10.168,16.099
11.137,9.9363,8.1802,8.7314,7.9075,9.9268,9.5549,8.1696,7.5135,5.8675,3.4011,10.53,9.7115,10.805,12.236,8.3958,12.629,12.188,5.2146,14.182,5.3334,3.889,13.422,12.584,12.557,11.737,10.014,16.616
14.174,11.246,8.6712,9.3123,7.7982,9.8401,8.4303,8.2156,8.3828,5.8934,6.0251,9.8286,9.868,10.906,13.008,8.4745,12.51,12.025,4.9175,13.512,6.3171,8.2195,12.938,13.236,11.49,11.083,10.969,15.656
8.9504,10.246,7.7544,7.2488,7.9157,10.36,7.1001,8.5364,9.2057,6.4283,3.2498,10.967,6.9343,10.367,12.785,9.1689,12.953,9.2212,0,13.338,7.3651,3.9906,12.889,11.564,10.415,11.264,11.113,12.85
10.731,11.104,7.7235,8.066,5.677,9.2164,8.7464,6.9158,5.3734,3.4207,7.1638,7.8402,8.4332,8.9404,9.0936,6.0024,10.399,13.214,3.6237,14.531,7.1475,7.243,13.102,12.133,11.46,11.774,9.9995,16.717
9.1489,10.433,6.6582,9.3698,8.2336,9.2166,9.1256,8.1743,7.7559,7.891,6.9332,9.5439,9.3228,10.345,11.48,8.4238,12.04,11.628,5.1015,13.996,5.945,7.8536,12.392,11.94,12.034,11.921,10.148,12.941
11.825,11.647,8.8687,8.6801,7.487,9.7839,8.3656,8.7855,6.7245,5.5493,5.1445,10.341,9.5706,10.851,13.222,9.1768,12.924,12.381,3.199,13.562,7.0964,10.278,14.244,12.407,11.664,10.834,10.838,16.99
12.684,11.047,7.8786,9.4553,6.8847,9.4407,8.3087,7.5613,7.7826,5.6581,7.0144,10.359,11.058,9.739,11.753,8.0697,12.836,11.93,5.184,14.348,9.2361,11.807,13.964,11.745,11.133,11.428,10.59,16.894
12.8,10.354,9.483,9.0596,5.9466,8.2708,8.2468,5.9982,4.8056,2.458,6.3948,8.6312,8.1619,9.4323,11.587,4.2462,10.95,12.419,1.6992,15.117,5.7796,8.3325,13.617,12.946,11.112,11.427,10.502,15.731
13.535,11.355,5.9093,9.0012,6.1201,9.9638,8.4495,8.1291,6.8684,5.1568,6.1364,10.087,9.238,10.994,13.055,8.0498,12.637,12.202,4.7124,13.526,9.2511,8.3297,13.593,13.094,12.263,11.173,10.652,16.522
6.0161,9.9583,9.9363,6.4837,7.1647,9.6312,8.7489,7.276,9.0089,5.2205,5.8039,9.985,10.607,10.32,13.164,8.5452,12.722,11.527,6.3803,14.109,4.2249,4.155,13.027,10.376,12.174,11.57,10.834,15.34
10.72,11.446,7.3331,8.0803,6.9026,8.6217,8.2505,6.5461,7.2184,5.1251,6.4729,7.9693,10.143,8.7717,8.9929,5.7795,10.056,12.972,6.0039,15.777,6.0381,8.4288,12.403,12.477,12.1,12.415,9.8077,13.562
11.149,11.635,6.9661,9.0417,6.0518,9.8248,8.7579,8.1856,7.0649,5.1428,6.8601,9.3806,10.091,10.208,11.68,8.1911,11.827,12.887,4.4621,13.608,4.7263,8.2181,14.072,13.536,11.876,11.411,10.485,16.033
10.804,12.746,6.9057,9.4002,5.4395,9.7311,9.4483,8.2578,6.1877,5.3115,6.57,10.223,9.2112,11.714,12.225,7.7094,12.073,12.391,4.2805,13.757,7.6773,12.247,13.243,13.553,12.547,11.554,10.951,17.132
7.7939,10.215,8.23,6.5459,6.5935,9.0125,9.8215,7.1813,8.8506,7.3008,11.426,9.7129,13.104,11.419,9.6096,7.6661,10.477,11.559,6.5699,16.292,5.7198,6.8502,10.541,10.782,12.841,10.986,10.397,13.075
12.764,11.707,6.6718,9.4542,7.2569,9.799,9.3904,8.5413,6.89,4.9626,4.3767,10.717,10.44,11.579,11.843,8.782,13.025,12.34,3.9608,13.458,8.4194,8.9248,14.525,12.913,12.773,11.381,10.498,15.084
